speaker,speech,timestamp,date
jeroen dijsselbloem,"… of your responses or questions. and can i first, first ask the commission,  or pierre, to uh, give their headlines.",1900-01-01 00:00:00,2015-02-24 00:00:00
speaker 2,"uh, yes, uh, thank you, jeroen. well, uh, commission, uh, has, uh, carefully reviewed the reformed proposal sent yesterday to the, uh, president of eurogroup. and, uh, this has been preceded by, uh, contractual exchanges, uh, over the weekend between the, between the greek authorities and, uh, european commission, and also other, uh, institutions. so, in the review of the commission, this list is sufficiently comprehensive to be a valid starting point for a successful conclusion of the review as called for by the eurogroup at it’s last, uh, meeting. let me stress, uh, however, that the list does not include sufficient detail to allow us to assess each specific measure, and how that impacts on a budget, or on the overall program targets. further specification of the reforms in this and other key areas, uh, is expected to be provided and agreed before the end of april. this is also in line with last week’s, uh, eurogroup, uh, statement. uh, we consider the eurogroup statement of the last friday as a basis.",1900-01-01 00:00:10,2015-02-24 00:00:00
michael noonan,michael noonan.,1900-01-01 00:01:27,2015-02-24 00:00:00
speaker 2,"uh, it is therefore regrettable that, uh-",1900-01-01 00:01:29,2015-02-24 00:00:00
speaker 3,has entered the conference.,1900-01-01 00:01:33,2015-02-24 00:00:00
speaker 2,"… that the letter by the minister does not, uh, directly to refer to the commitments in this, uh, statement, such as, for example, to deliver primary surpluses and financing proceeds  to guarantee that sustainability in line with november 2012 eurogroup statement. uh, we also find it rather unusual that the letter is not formally signed and does not refer to any actual government decision in this context. so the legal status of the letter is therefore not fully, uh, clear. uh, importantly, this list does not substitute in any views, uh, memorandum of understandings, which constitutes the official legal basis for the program underpinning the master financial assistance facility agreement. it is also important to recall that the greek authorities are permitted to refrain from any rollback of measures and unilateral changes to the policies and structural reforms that would negatively impact fiscal targets, economic recovery or financial stability as assessed by the institutions.",1900-01-01 00:01:37,2015-02-24 00:00:00
speaker 2,"uh, any policy initiatives therefore, should be discussed ex-ante with the three institutions. and now i would ask pierre to, uh, elaborate further on some critical, uh, details.",1900-01-01 00:02:48,2015-02-24 00:00:00
pierre moscovici,"um, okay colleagues. um, in general i would say we are encouraged by a number of commitments in  consider at all times the new government must, uh, take, uh, immediate visible steps to show determination for change in these areas. believe a revision of the legal framework is, uh, needed.",1900-01-01 00:02:59,2015-02-24 00:00:00
pierre moscovici,"in other areas, urgent and deferential, uh, in-",1900-01-01 00:03:54,2015-02-24 00:00:00
speaker 3,has entered the conference.,1900-01-01 00:04:00,2015-02-24 00:00:00
pierre moscovici,"… urgent deferential and immediate decisions ought to be taken, uh, as the uncertainty of the past weeks has been, um, damaging and destructive. first, in the financial sector we believe the government must reiterate as soon as possible, in a very clear manner, uh, that key pillars of reform as agreed under the mou, uh, to settle the markets and diplomatics. uh, similarly, um, taxation and installments, the government must take urgent action, uh, to clarify it’s intentions, so that taxpayers begin to pay again taxes and social security contributions. and decisions should be taken, uh, swiftly in a full, uh, consultation with these three institutions.",1900-01-01 00:04:02,2015-02-24 00:00:00
