num_topics,alpha,beta,coherence
2,0.01,0.01,-1.4386280764533133
2,0.01,0.3,-1.7559970642226137
2,0.01,0.6,-1.4243548084676139
2,0.01,1,-1.4406981652205264
2,0.01,symmetric,-1.33430308961481
2,0.3,0.01,-1.4318590771865858
2,0.3,0.3,-1.3398973613832579
2,0.3,0.6,-1.4277175317745305
2,0.3,1,-1.4887571541542837
2,0.3,symmetric,-1.420478593833177
2,0.6,0.01,-1.6161669786948112
2,0.6,0.3,-1.4478791865979066
2,0.6,0.6,-1.4490531930136292
2,0.6,1,-1.3907594254945828
2,0.6,symmetric,-1.4375655051629184
2,1,0.01,-1.4949895633806483
2,1,0.3,-1.3556939807905695
2,1,0.6,-1.4381626872371076
2,1,1,-1.4254462878605483
2,1,symmetric,-1.3406116645564574
2,symmetric,0.01,-1.2683854929460439
2,symmetric,0.3,-1.4366536052874705
2,symmetric,0.6,-1.4350632273849722
2,symmetric,1,-1.4254477580756857
2,symmetric,symmetric,-1.4577361536019509
2,asymmetric,0.01,-1.3033356668760492
2,asymmetric,0.3,-1.3219656441447376
2,asymmetric,0.6,-1.4453834338879592
2,asymmetric,1,-1.4210508679666658
2,asymmetric,symmetric,-1.3480482003800873
3,0.01,0.01,-2.2039200025672194
3,0.01,0.3,-1.668477453783429
3,0.01,0.6,-1.6096127359826105
3,0.01,1,-1.6597938890947006
3,0.01,symmetric,-1.5308536681096812
3,0.3,0.01,-1.8289735082585914
3,0.3,0.3,-1.3809457055857377
3,0.3,0.6,-1.395482872515112
3,0.3,1,-1.4749190330208906
3,0.3,symmetric,-1.756332185701618
3,0.6,0.01,-1.356111509318551
3,0.6,0.3,-1.451699610700169
3,0.6,0.6,-1.4030266155708147
3,0.6,1,-1.5093611540105465
3,0.6,symmetric,-1.4314223767979817
3,1,0.01,-1.6219040320755338
3,1,0.3,-1.8020183333974125
3,1,0.6,-2.1044087936110953
3,1,1,-1.3822518441588232
3,1,symmetric,-1.3777111535754385
3,symmetric,0.01,-1.5108772634365828
3,symmetric,0.3,-1.3687986891611388
3,symmetric,0.6,-1.3586140063932175
3,symmetric,1,-1.3908059012151162
3,symmetric,symmetric,-1.6099120879908606
3,asymmetric,0.01,-1.8429404539434018
3,asymmetric,0.3,-2.1272733073453587
3,asymmetric,0.6,-5.172137428942167
3,asymmetric,1,-1.7121875740587111
3,asymmetric,symmetric,-1.803263502885694
4,0.01,0.01,-1.8281147137771834
4,0.01,0.3,-1.8867624477318277
4,0.01,0.6,-1.988923070149949
4,0.01,1,-1.7322115127764128
4,0.01,symmetric,-1.548913804255906
4,0.3,0.01,-1.6629552450811125
4,0.3,0.3,-1.7014761003553
4,0.3,0.6,-1.8839883373338941
4,0.3,1,-1.4795726843582058
4,0.3,symmetric,-1.642868639039417
4,0.6,0.01,-1.5931266007606555
4,0.6,0.3,-1.6791501891225797
4,0.6,0.6,-1.8080848806891983
4,0.6,1,-1.6003741806095417
4,0.6,symmetric,-1.608330311574303
4,1,0.01,-1.5792247154426386
4,1,0.3,-1.6235845176768502
4,1,0.6,-1.6438614677743413
4,1,1,-1.6790627474560131
4,1,symmetric,-1.4826546122576847
4,symmetric,0.01,-1.7993942251219823
4,symmetric,0.3,-1.6996646510950701
4,symmetric,0.6,-1.7584011588082828
4,symmetric,1,-1.8294877449022477
4,symmetric,symmetric,-1.8369585110760174
4,asymmetric,0.01,-2.0245774233594336
4,asymmetric,0.3,-1.422731996089043
4,asymmetric,0.6,-5.55367545364721
4,asymmetric,1,-4.732273024616193
4,asymmetric,symmetric,-4.954616406179575
5,0.01,0.01,-1.7286496732400025
5,0.01,0.3,-1.779405464463672
5,0.01,0.6,-1.5564144471192611
5,0.01,1,-1.8474843682390265
5,0.01,symmetric,-1.5307269024477126
5,0.3,0.01,-1.621518814646683
5,0.3,0.3,-1.7316228121403188
5,0.3,0.6,-1.6993714659397838
5,0.3,1,-3.6643491129463293
5,0.3,symmetric,-2.1389811578167053
5,0.6,0.01,-1.5567869142892468
5,0.6,0.3,-4.162787130810008
5,0.6,0.6,-1.7058858857963948
5,0.6,1,-1.7665501167529878
5,0.6,symmetric,-1.6058447145776742
5,1,0.01,-1.9028623514237295
5,1,0.3,-1.7524368385529285
5,1,0.6,-1.8785858154124895
5,1,1,-1.6971532019779079
5,1,symmetric,-1.790600201804179
5,symmetric,0.01,-2.200657842423349
5,symmetric,0.3,-1.9689904929392714
5,symmetric,0.6,-1.883507813171906
5,symmetric,1,-2.0086436038632076
5,symmetric,symmetric,-2.527335575590608
5,asymmetric,0.01,-1.9921946951501366
5,asymmetric,0.3,-5.300806320681092
5,asymmetric,0.6,-5.445417199671194
5,asymmetric,1,-3.841869214208386
5,asymmetric,symmetric,-4.187363868709673
6,0.01,0.01,-1.9230751769486727
6,0.01,0.3,-1.9672210196254145
6,0.01,0.6,-1.8201606930339882
6,0.01,1,-1.8740201547828352
6,0.01,symmetric,-1.941515052303772
6,0.3,0.01,-1.997122254281736
6,0.3,0.3,-1.779595903885123
6,0.3,0.6,-1.8746264109885142
6,0.3,1,-1.690972980227878
6,0.3,symmetric,-2.197723318274507
6,0.6,0.01,-1.7010710490543535
6,0.6,0.3,-1.851098714761464
6,0.6,0.6,-1.6657960164163432
6,0.6,1,-3.250542279178218
6,0.6,symmetric,-1.80639173383402
6,1,0.01,-1.7794149257424203
6,1,0.3,-1.5937815832957838
6,1,0.6,-1.7311586698117878
6,1,1,-4.080646054178273
6,1,symmetric,-1.8776131742198139
6,symmetric,0.01,-1.7185424382801786
6,symmetric,0.3,-1.8333436648349313
6,symmetric,0.6,-1.9064558413351758
6,symmetric,1,-2.6956378491798816
6,symmetric,symmetric,-1.9276604402880146
6,asymmetric,0.01,-1.885269489065186
6,asymmetric,0.3,-5.8022423168038655
6,asymmetric,0.6,-7.7170954609500635
6,asymmetric,1,-4.705653788295648
6,asymmetric,symmetric,-6.635898496705084
7,0.01,0.01,-1.868952112531547
7,0.01,0.3,-2.0567767635737644
7,0.01,0.6,-1.802207640155768
7,0.01,1,-1.858446969453978
7,0.01,symmetric,-1.817365352600056
7,0.3,0.01,-1.893764615568218
7,0.3,0.3,-2.032354306496224
7,0.3,0.6,-3.357347930271184
7,0.3,1,-1.6355681314594988
7,0.3,symmetric,-1.8923492790345047
7,0.6,0.01,-1.6509575821526905
7,0.6,0.3,-1.7521340350246066
7,0.6,0.6,-4.136415846843677
