num_topics,alpha,beta,coherence
2,0.01,0.01,-2.4275034632923
2,0.01,0.3,-2.0793895255948307
2,0.01,0.6,-1.8210759230576803
2,0.01,1,-2.230929700514645
2,0.01,symmetric,-2.245937938745181
2,0.3,0.01,-2.158920765401398
2,0.3,0.3,-2.1671755637229264
2,0.3,0.6,-2.058102909171993
2,0.3,1,-2.1178528314624905
2,0.3,symmetric,-2.4501886070931214
2,0.6,0.01,-1.9851557267286433
2,0.6,0.3,-1.8435262092867588
2,0.6,0.6,-1.9974298672275443
2,0.6,1,-1.644066378810115
2,0.6,symmetric,-2.3851248146479826
2,1,0.01,-2.3204714320716993
2,1,0.3,-1.719063165015326
2,1,0.6,-2.3078201307662933
2,1,1,-2.122869825265361
2,1,symmetric,-2.2930116367712294
2,symmetric,0.01,-1.585137609111042
2,symmetric,0.3,-2.0601800297513444
2,symmetric,0.6,-2.279926523689098
2,symmetric,1,-2.1268277853381443
2,symmetric,symmetric,-2.1319272216252356
2,asymmetric,0.01,-2.5205807835983878
2,asymmetric,0.3,-2.325663125649897
2,asymmetric,0.6,-1.7859049993970468
2,asymmetric,1,-2.080773270741396
2,asymmetric,symmetric,-1.588354915866337
3,0.01,0.01,-2.54240635236021
3,0.01,0.3,-2.1149466941453974
3,0.01,0.6,-2.44490453826344
3,0.01,1,-2.2899833729955206
3,0.01,symmetric,-2.2678333972906564
3,0.3,0.01,-2.957211456954687
3,0.3,0.3,-1.8593866075148273
3,0.3,0.6,-1.8479860922666547
3,0.3,1,-2.4356339190727856
3,0.3,symmetric,-3.2557241153677743
3,0.6,0.01,-2.2390632803208317
3,0.6,0.3,-1.8046327393324493
3,0.6,0.6,-2.055224221240527
3,0.6,1,-1.9758301781007255
3,0.6,symmetric,-2.5702358171851203
3,1,0.01,-1.8395740700403698
3,1,0.3,-2.24422296882113
3,1,0.6,-1.9876030203007302
3,1,1,-2.0696685677911923
3,1,symmetric,-2.006367201706048
3,symmetric,0.01,-2.811990374309602
3,symmetric,0.3,-1.6876683906702017
3,symmetric,0.6,-2.134134428522006
3,symmetric,1,-2.888464841146744
3,symmetric,symmetric,-2.151488304295174
3,asymmetric,0.01,-1.8314429110456143
3,asymmetric,0.3,-6.1158384470458875
3,asymmetric,0.6,-1.726349648233673
3,asymmetric,1,-2.814284828179236
3,asymmetric,symmetric,-2.445737172612384
4,0.01,0.01,-2.1538846122125794
4,0.01,0.3,-1.8841968813046843
4,0.01,0.6,-2.2267073218255344
4,0.01,1,-2.1732916059153418
4,0.01,symmetric,-2.409662963260609
4,0.3,0.01,-2.1378696971457534
4,0.3,0.3,-4.256371434624324
4,0.3,0.6,-1.9963880778514072
4,0.3,1,-2.15762623084691
4,0.3,symmetric,-2.9520671043404967
4,0.6,0.01,-2.1209699209269055
4,0.6,0.3,-1.8932534655247584
4,0.6,0.6,-1.7897613181375651
4,0.6,1,-2.3379369525372526
4,0.6,symmetric,-2.176279216741264
4,1,0.01,-2.242917380601954
4,1,0.3,-2.1630927067174497
4,1,0.6,-2.0148407927556575
4,1,1,-3.042613830388889
4,1,symmetric,-2.221117032781552
4,symmetric,0.01,-2.6623631524773677
4,symmetric,0.3,-2.1100364974744013
4,symmetric,0.6,-1.9139161692401203
4,symmetric,1,-2.0542466388323355
4,symmetric,symmetric,-1.873476078485162
4,asymmetric,0.01,-2.3195979279765684
4,asymmetric,0.3,-5.140897823420547
4,asymmetric,0.6,-8.186641338590768
4,asymmetric,1,-4.863325652875899
4,asymmetric,symmetric,-7.261288773872241
5,0.01,0.01,-2.425815769621905
5,0.01,0.3,-1.9302711012858087
5,0.01,0.6,-2.296456079679834
5,0.01,1,-1.9933325701467364
5,0.01,symmetric,-1.881436344799803
5,0.3,0.01,-2.4532070949620897
5,0.3,0.3,-1.8632892563081498
5,0.3,0.6,-2.2941284377427977
5,0.3,1,-2.5499330218070893
5,0.3,symmetric,-2.556048555150751
5,0.6,0.01,-2.5330760708544444
5,0.6,0.3,-1.797437199131889
5,0.6,0.6,-2.2705378421729954
5,0.6,1,-2.29710670142235
5,0.6,symmetric,-2.2209970474410046
5,1,0.01,-2.566472927505246
5,1,0.3,-2.2937483627576616
5,1,0.6,-2.5704972262035732
5,1,1,-2.435152056846624
5,1,symmetric,-2.157846082894603
5,symmetric,0.01,-2.3358239141351427
5,symmetric,0.3,-2.4332434788166095
