num_topics,alpha,beta,coherence
2,0.01,0.01,-1.4263675343015172
2,0.01,0.3,-1.454947635197025
2,0.01,0.6,-1.4361922724418106
2,0.01,1,-1.6272727541078942
2,0.01,symmetric,-1.391955468876332
2,0.3,0.01,-1.4430958407847467
2,0.3,0.3,-1.4434159770519144
2,0.3,0.6,-1.9001365057966384
2,0.3,1,-1.4687775062456965
2,0.3,symmetric,-1.4491941542233295
2,0.6,0.01,-1.451081114421251
2,0.6,0.3,-1.4392159744001716
2,0.6,0.6,-1.4464141823803687
2,0.6,1,-1.4496329520616917
2,0.6,symmetric,-1.4600516594240673
2,1,0.01,-1.4410382287031602
2,1,0.3,-1.4548737258954436
2,1,0.6,-1.4609873637322108
2,1,1,-1.443645221149027
2,1,symmetric,-1.450931212324298
2,symmetric,0.01,-1.468154357860076
2,symmetric,0.3,-1.474376086156135
2,symmetric,0.6,-1.4429510536068946
2,symmetric,1,-1.4528915152629862
2,symmetric,symmetric,-1.460846473134748
2,asymmetric,0.01,-1.4425987081176306
2,asymmetric,0.3,-1.4424688213574617
2,asymmetric,0.6,-1.438753791722318
2,asymmetric,1,-1.439028636448163
2,asymmetric,symmetric,-1.5480101794734658
3,0.01,0.01,-1.7684998400192604
3,0.01,0.3,-1.511767926443904
3,0.01,0.6,-1.5520227728134852
3,0.01,1,-1.7768325256306536
3,0.01,symmetric,-1.519065705261328
3,0.3,0.01,-1.548246807023444
3,0.3,0.3,-1.5865790088998628
3,0.3,0.6,-1.419728698934623
3,0.3,1,-1.4350486186555518
3,0.3,symmetric,-1.442689878465238
3,0.6,0.01,-1.4274939128230637
3,0.6,0.3,-1.7219409250615845
3,0.6,0.6,-1.4093034306542982
3,0.6,1,-1.9163714415181696
3,0.6,symmetric,-1.5512180539016367
3,1,0.01,-1.7080802201985712
3,1,0.3,-1.7293479537587482
3,1,0.6,-1.4003166537286413
3,1,1,-1.386214745349756
3,1,symmetric,-1.5027605512229727
3,symmetric,0.01,-1.5632295074960993
3,symmetric,0.3,-1.4332513597059098
3,symmetric,0.6,-1.4123166981494215
3,symmetric,1,-1.4253645997537454
3,symmetric,symmetric,-1.707273343392843
3,asymmetric,0.01,-1.500485454292564
3,asymmetric,0.3,-2.9451835733665974
3,asymmetric,0.6,-5.008374737749888
3,asymmetric,1,-1.424534304739226
3,asymmetric,symmetric,-5.039335968503842
4,0.01,0.01,-1.7174014909964574
4,0.01,0.3,-2.000496216864303
