num_topics,alpha,beta,coherence
2,0.01,0.01,-1.5707950954117138
2,0.01,0.3,-2.3122996344373257
2,0.01,0.6,-1.8409042352783778
2,0.01,1,-1.8052165772978062
2,0.01,symmetric,-2.2707776374178845
2,0.3,0.01,-2.2864092585496354
2,0.3,0.3,-1.7395957775096125
2,0.3,0.6,-1.7987892472151716
2,0.3,1,-1.8505746000242915
2,0.3,symmetric,-2.054874623873179
2,0.6,0.01,-1.981655253046733
2,0.6,0.3,-1.8159047293015078
2,0.6,0.6,-1.962354547463094
2,0.6,1,-1.8176078026589613
2,0.6,symmetric,-1.785981386136755
2,1,0.01,-1.8683052926609052
2,1,0.3,-1.7566751208759244
2,1,0.6,-2.2431736437499983
2,1,1,-1.7740495520313329
2,1,symmetric,-1.7767918312644384
2,symmetric,0.01,-1.8497377387344063
2,symmetric,0.3,-1.8281823207126782
2,symmetric,0.6,-1.7271025354485683
2,symmetric,1,-1.6303253097227919
2,symmetric,symmetric,-1.6654637731837565
2,asymmetric,0.01,-2.0976199950927485
2,asymmetric,0.3,-1.6220975021100787
2,asymmetric,0.6,-1.6265992454180886
2,asymmetric,1,-1.709144222571683
2,asymmetric,symmetric,-1.9001545890006817
3,0.01,0.01,-2.3104901381880576
3,0.01,0.3,-2.414889273838123
3,0.01,0.6,-2.278484051415143
3,0.01,1,-2.0428868849784223
3,0.01,symmetric,-2.0748295269873434
3,0.3,0.01,-2.291251815818326
3,0.3,0.3,-2.736447180070723
3,0.3,0.6,-2.682510751937469
3,0.3,1,-2.401182212689378
3,0.3,symmetric,-1.7677575186962045
3,0.6,0.01,-2.3766015301038848
3,0.6,0.3,-2.3753181632597897
3,0.6,0.6,-2.088246747666984
3,0.6,1,-2.0658108588360475
3,0.6,symmetric,-2.1695825800205464
3,1,0.01,-2.900599850182773
3,1,0.3,-2.4779205620644307
3,1,0.6,-2.161959996809014
3,1,1,-1.6616948046007618
3,1,symmetric,-1.707823538933279
3,symmetric,0.01,-2.1169503873736013
3,symmetric,0.3,-2.103209823966108
3,symmetric,0.6,-2.7230167789758277
3,symmetric,1,-2.077111317880273
3,symmetric,symmetric,-1.73361369846962
3,asymmetric,0.01,-1.8325419357585127
3,asymmetric,0.3,-2.9530899575934484
3,asymmetric,0.6,-1.6914292091027792
3,asymmetric,1,-1.6516803573641725
3,asymmetric,symmetric,-1.9756527320599762
4,0.01,0.01,-2.865509966875014
4,0.01,0.3,-2.601842186144611
4,0.01,0.6,-2.0584077417382987
4,0.01,1,-2.5193793171879966
4,0.01,symmetric,-2.9333883783628387
4,0.3,0.01,-2.0521961448410506
4,0.3,0.3,-2.447707280088566
4,0.3,0.6,-2.22886444263721
4,0.3,1,-2.1595034885562945
4,0.3,symmetric,-2.287436329418548
