speaker,speech,date,entity
jeroen dijsselbloem,"… of your responses or questions. And can I first, first ask the Commission,  or Pierre, to uh, give their headlines.",2015-02-24 00:00:00,EG President
speaker 2,"Uh, yes, uh, thank you, Jeroen. Well, uh, commission, uh, has, uh, carefully reviewed the reformed proposal sent yesterday to the, uh, President of Eurogroup. And, uh, this has been preceded by, uh, contractual exchanges, uh, over the weekend between the, between the Greek authorities and, uh, European commission, and also other, uh, institutions. So, in the review of the commission, this list is sufficiently comprehensive to be a valid starting point for a successful conclusion of the review as called for by the Eurogroup at it’s last, uh, meeting. Let me stress, uh, however, that the list does not include sufficient detail to allow us to assess each specific measure, and how that impacts on a budget, or on the overall program targets. Further specification of the reforms in this and other key areas, uh, is expected to be provided and agreed before the end of April. This is also in line with last week’s, uh, Eurogroup, uh, statement. Uh, we consider the Eurogroup statement of the last Friday as a basis.",2015-02-24 00:00:00,Unidentified
michael noonan,Michael Noonan.,2015-02-24 00:00:00,Ireland
speaker 2,"Uh, it is therefore regrettable that, uh- … that the letter by the Minister does not, uh, directly to refer to the commitments in this, uh, statement, such as, for example, to deliver primary surpluses and financing proceeds  to guarantee that sustainability in line with November 2012 Eurogroup statement. Uh, we also find it rather unusual that the letter is not formally signed and does not refer to any actual government decision in this context. So the legal status of the letter is therefore not fully, uh, clear. Uh, importantly, this list does not substitute in any views, uh, memorandum of understandings, which constitutes the official legal basis for the program underpinning the master financial assistance facility agreement. It is also important to recall that the Greek authorities are permitted to refrain from any rollback of measures and unilateral changes to the policies and structural reforms that would negatively impact fiscal targets, economic recovery or financial stability as assessed by the institutions. Uh, Any policy initiatives therefore, should be discussed ex-ante with the three institutions. And now I would ask Pierre to, uh, elaborate further on some critical, uh, details.",2015-02-24 00:00:00,Unidentified
pierre moscovici,"Um, okay colleagues. Um, in general I would say we are encouraged by a number of commitments in  consider at all times the new government must, uh, take, uh, immediate visible steps to show determination for change in these areas. Believe a revision of the legal framework is, uh, needed. In other areas, urgent and deferential, uh, in- … urgent deferential and immediate decisions ought to be taken, uh, as the uncertainty of the past weeks has been, um, damaging and destructive. First, in the financial sector we believe the government must reiterate as soon as possible, in a very clear manner, uh, that key pillars of reform as agreed under the MOU, uh, to settle the markets and diplomatics. Uh, similarly, um, taxation and installments, the government must take urgent action, uh, to clarify it’s intentions, so that taxpayers begin to pay again taxes and social security contributions. And decisions should be taken, uh, swiftly in a full, uh, consultation with these three institutions. Uh, second, on privatization, um, our feeling is that the government should instruct the agency to proceed with the ongoing standards also swiftly. So, the commission, uh, looks forward to, to, to, to working with the new administration to, to elaborate what are, are still at the moment general commitments, and transform these into, uh, clear policy actions. We would also like to underline our willingness to continue to provide, uh, technical assistance in key areas, to, to assist in the design and, and the implementation of policies. Uh, to sum up, I won’t be longer, in the view of the commission, this is, is sufficiently comprehensive to be, uh, a valid starting point for a successful conclusion of the review. It is not at all something that means that the review is concluded or on the way to be concluded, and I think this was, uh, what we were asked by the Eurogroup, and our answer is clear on that point.",2015-02-24 00:00:00,European Commission
jeroen dijsselbloem,"Thank you very much, uh, as always, Pierre. Uh, let me turn to the uh, ECB. Mario?",2015-02-24 00:00:00,EG President
mario draghi,"Yes, thanks Jeroen. Thank you. As, uh, as we discussed the… in such short time, was certainly not possible for the authorities to come up with their own list of complete proposals and commitments, which would allow us, the institutions, but especially ECB to assess the impact on growth, public finances and financial stability. I note that the commitments outlined by the authorities differ from existing program commitments in a number of areas. But having said that, the list sent by the Greek authorities covers a wide range of reform areas, and in this sense it’s appreciably comprehensive to be a valid starting point for a successful conclusion of the review. Now, let me make a few additional remarks. We understand consistently with the Eurogroup decision last Friday, that the list doesn’t call into question that the current arrangement, and asks existing commitments in the current MOU and MEFP are the basis for the review. In cases where the list deviates from the MEFP and the MOU, we will assess during the review, where the measures which are not accepted by the authorities are replaced with measures of equal or better quality in terms of achieving the objectives of the program. We would appreciate if the Greek authorities would make very clear and public that there will be no rolling back of existing reforms or commitments in any of the areas mentioned in their list. Any new measures or laws in these areas will only be implemented once agreed with the three institutions. Unfortunately we still continue to hear conflicting messages between the communication to the Greek general public and the comit- and the commitments to this group. Second point concerns the payment culture. The list we are discussing today was not used for this purpose. In the coming days, we would expect very clear statements from the highest levels. The concern is to previous announcements. First, there will be no initiatives by the government on broadening or relaxing installment schemes, and the measures to strengthen tax enforcement and payment discipline will urgently be discussed with the three institutions. Unfortunately, even this morning, we are hearing conflicting message from Athens. Second, there would be no new moratorium on auctioning of residences, nor any other restrictions, which makes it difficult for banks to effectively work out the NTLs. I think it should be in the interest of Greece, first and foremost, to have a viable credit system. If banks are not viable, they won’t give any credit. I made this point several times. There will also be no initiative for any general or horizontal debt relief for private creditors. I mean, Jerome, with your agreement I would like to make a point on the difference between the Eurogroup statement and uh, this, uh, the statement here about the  bonds for bank recapitalization. Can I make it now?",2015-02-24 00:00:00,ECB
jeroen dijsselbloem," bonds, uh, would take place. It would be… it would take place on the basis of the ECB SSM decision. They are the ones who trigger the use of these funds, uh, for recapitalization purposes. Uh, that’s what we agreed in Eurogroup. Uh, any further debate on that issue, I think, should be… should take place in the Euro Working Group, if that’s all right.",2015-02-24 00:00:00,EG President
mario draghi,"Thank you, Jeroen. So I… I understand as the draft amendment of the master financial assistance facility agreement that has circulated yesterday will be in line with the statements agreed on Friday.",2015-02-24 00:00:00,ECB
jeroen dijsselbloem,"Yes. And if anyone has any further comments on that, then I think it should take place in the Euro Working Group, uh-",2015-02-24 00:00:00,EG President
