num_topics,alpha,beta,u_mass,c_v
2,0.01,0.01,-1.5394426039467397,0.2067126131815904
2,0.01,0.3,-1.4770939722749368,0.18850022869070251
2,0.01,1,-1.4770939722749368,0.18850022869070251
2,0.01,symmetric,-1.4770939722749368,0.18850022869070251
2,0.3,0.01,-1.5269997177810244,0.25981435606799
2,0.3,0.3,-1.484617855103386,0.22246872482290683
2,0.3,1,-1.5383066914438803,0.20451208308429975
2,0.3,symmetric,-1.5427338741496608,0.2014362126958526
2,1,0.01,-1.5704231797449548,0.2588187269839878
2,1,0.3,-1.572883510377037,0.2618648665268629
2,1,1,-1.5331848166123399,0.26234603312841387
2,1,symmetric,-1.5415888511773514,0.2654967332193715
2,symmetric,0.01,-1.5699045516974424,0.27433039234193257
2,symmetric,0.3,-1.5254567274274218,0.27081868195723424
2,symmetric,1,-1.5261737787188785,0.24935690192549365
2,symmetric,symmetric,-1.5488597269453699,0.25867615529329735
2,asymmetric,0.01,-1.5446062762779702,0.24888222522537629
2,asymmetric,0.3,-1.5993098067229887,0.23713504565570956
2,asymmetric,1,-1.509083739504708,0.20762270880447967
2,asymmetric,symmetric,-1.4820053160266329,0.2569932682284485
3,0.01,0.01,-1.8591380553361159,0.2422183802306984
3,0.01,0.3,-1.8087665233634986,0.22663103341667093
3,0.01,1,-1.8087665233634986,0.22663103341667093
3,0.01,symmetric,-1.8087665233634986,0.22663103341667093
3,0.3,0.01,-1.543479789723735,0.3153040017330328
3,0.3,0.3,-1.504387489059459,0.32150227629737793
3,0.3,1,-1.5803226355988584,0.2511090640454369
3,0.3,symmetric,-1.5085523508087109,0.31792503826334234
3,1,0.01,-1.5485212286184058,0.3170460961550715
3,1,0.3,-1.805812549907749,0.2887587442317858
3,1,1,-1.7908065195838352,0.2359733053726584
3,1,symmetric,-1.809048584813502,0.28454671141975785
3,symmetric,0.01,-1.6606612358483865,0.25414657908739424
3,symmetric,0.3,-1.5156996899010562,0.2541943887920991
3,symmetric,1,-1.534744659264734,0.25335507755482933
3,symmetric,symmetric,-1.4945371340698184,0.25479806901651975
3,asymmetric,0.01,-1.473226833968187,0.30989003854688174
3,asymmetric,0.3,-1.438645381035408,0.27717532927713834
3,asymmetric,1,-1.6975668722509205,0.2408462007281801
3,asymmetric,symmetric,-1.4280322209968848,0.27503937558095054
4,0.01,0.01,-1.8604891863390791,0.2423034102734165
4,0.01,0.3,-1.7265817330153974,0.23069553516816027
4,0.01,1,-1.7265817330153974,0.23069553516816027
4,0.01,symmetric,-1.7265817330153974,0.23069553516816027
4,0.3,0.01,-1.5473159775898333,0.23247881919744015
4,0.3,0.3,-1.6977326870961649,0.2068760016725078
4,0.3,1,-1.7145821579244749,0.2164332786924786
4,0.3,symmetric,-1.6101981831415466,0.21327536607764042
4,1,0.01,-1.5078411602425699,0.29954704224310774
4,1,0.3,-1.6671526548878464,0.29353398340462833
4,1,1,-1.557521954334326,0.2825668312206491
4,1,symmetric,-1.647613605920876,0.2843393749639074
4,symmetric,0.01,-1.5998874054286287,0.2849699222247654
4,symmetric,0.3,-1.6461062258574581,0.2889930602261285
4,symmetric,1,-1.5977239426178627,0.23913297107031284
4,symmetric,symmetric,-1.6561348535976734,0.27994932082730656
4,asymmetric,0.01,-1.6706099826134975,0.2609997851125333
4,asymmetric,0.3,-1.7056442770326006,0.25132457778931483
4,asymmetric,1,-2.102684281550676,0.27078662583746427
4,asymmetric,symmetric,-1.7106148617987178,0.25256818641985357
5,0.01,0.01,-1.6440486981033093,0.2659427289750872
5,0.01,0.3,-1.7686062697602765,0.23592375122721979
5,0.01,1,-1.7686062697602765,0.23592375122721979
5,0.01,symmetric,-1.7686062697602765,0.23592375122721979
5,0.3,0.01,-1.712623411305166,0.2612053081055229
5,0.3,0.3,-1.6613944953016542,0.21860608621680475
5,0.3,1,-3.728960434968279,0.30210357844677926
5,0.3,symmetric,-1.653071107849997,0.23756345391152256
5,1,0.01,-1.81127381695025,0.32060223566425294
5,1,0.3,-1.6343436746370472,0.31161285467791505
5,1,1,-1.5838401440540792,0.35011683248539477
5,1,symmetric,-1.7654345326139478,0.3272532873238056
5,symmetric,0.01,-1.896110658694053,0.27230218665180883
5,symmetric,0.3,-1.5788395601063505,0.2808018674440537
5,symmetric,1,-2.246495375213283,0.25447795393994016
5,symmetric,symmetric,-1.8297587162260442,0.2729423108531511
5,asymmetric,0.01,-1.7959635769124476,0.2170163487586986
5,asymmetric,0.3,-1.735905244634279,0.24343657340881678
5,asymmetric,1,-2.1529731862783192,0.2564377117313953
5,asymmetric,symmetric,-1.8961253016692141,0.2371937994720003
6,0.01,0.01,-2.046771094600317,0.27354951552108026
6,0.01,0.3,-1.7335084400043845,0.23331999191320665
6,0.01,1,-1.7335084400043845,0.23331999191320665
6,0.01,symmetric,-1.7335084400043845,0.23331999191320665
6,0.3,0.01,-1.5258508029943905,0.26192685346850675
6,0.3,0.3,-1.6355648447294229,0.24761963183343552
6,0.3,1,-2.1172120877646683,0.28552521932038616
6,0.3,symmetric,-1.6833196253774014,0.2495075562003172
6,1,0.01,-1.7747064117359213,0.32144370540663814
6,1,0.3,-1.679853776427314,0.3239297403943653
6,1,1,-1.8275483597251414,0.328844138723636
6,1,symmetric,-2.079968527583149,0.2968043320408997
6,symmetric,0.01,-1.698653438618974,0.307024211775
6,symmetric,0.3,-1.666188548745133,0.25749678085372435
6,symmetric,1,-1.9194494680902825,0.24067751296416365
6,symmetric,symmetric,-1.747915944938183,0.2856888068790607
6,asymmetric,0.01,-1.8074201433317534,0.2735389979426439
6,asymmetric,0.3,-1.794058554937804,0.2575559584732801
6,asymmetric,1,-1.7916359445111694,0.26346033082591996
6,asymmetric,symmetric,-1.932762493482709,0.25892192996214525
7,0.01,0.01,-1.686242707157298,0.27798124543508884
7,0.01,0.3,-1.682497773200841,0.2504482250959182
7,0.01,1,-1.682497773200841,0.2504482250959182
7,0.01,symmetric,-1.682497773200841,0.2504482250959182
7,0.3,0.01,-1.8880355611576722,0.2511084238499165
7,0.3,0.3,-1.7764892032335875,0.2842336459048481
7,0.3,1,-2.5826940787778914,0.285743140279582
7,0.3,symmetric,-1.9320486751190522,0.2633919970276389
7,1,0.01,-1.7710966719643413,0.31334768536961694
7,1,0.3,-1.6741198306724943,0.3026029036528391
7,1,1,-3.864309895580337,0.36777464066068
7,1,symmetric,-1.8680280139712042,0.3084021014464338
