num_topics,alpha,beta,u_mass,c_v
2,0.01,0.01,-1.7543225901444561,0.2329271008889663
2,0.01,0.3,-1.7368612395779883,0.25938036887922405
2,0.01,1,-1.731248392517307,0.25585832341796516
2,0.01,symmetric,-1.732147732763944,0.25585832341796516
2,0.3,0.01,-1.9730026761397683,0.26386037648593363
2,0.3,0.3,-1.9433457349954137,0.2350588751988938
2,0.3,1,-1.849532112711493,0.22394716450864555
2,0.3,symmetric,-1.9241863310203735,0.2365221520887384
2,1,0.01,-1.7633670905179324,0.26575527103396096
2,1,0.3,-1.826594258196316,0.26909788250258226
2,1,1,-1.7184971782392575,0.2628318430497195
2,1,symmetric,-1.8094456472264686,0.2687512117385547
2,symmetric,0.01,-1.8469191840605794,0.28707284587324444
2,symmetric,0.3,-1.7614188367299377,0.2657552710339609
2,symmetric,1,-1.7545900540393031,0.2639493327501199
2,symmetric,symmetric,-1.7667750996556997,0.2657552710339609
2,asymmetric,0.01,-1.7406732755109813,0.2874459024977774
2,asymmetric,0.3,-1.7465421307799023,0.28061543475382944
2,asymmetric,1,-1.713541621924843,0.2775329853294607
2,asymmetric,symmetric,-1.7173840291045193,0.27846199219666845
3,0.01,0.01,-2.3584886424676785,0.29428898159645195
3,0.01,0.3,-2.157974175222613,0.3117780352759966
3,0.01,1,-2.157974175222613,0.3117780352759966
3,0.01,symmetric,-2.157974175222613,0.3117780352759966
3,0.3,0.01,-1.822603288501331,0.329810107590718
3,0.3,0.3,-2.0319460641912226,0.30080990838285515
3,0.3,1,-1.6155897076172776,0.32378275564614933
3,0.3,symmetric,-1.993848015342915,0.2890376787813424
3,1,0.01,-2.152460272356397,0.23744523622637956
3,1,0.3,-1.9046906651634734,0.29430508980884834
3,1,1,-1.5798284522353712,0.3361041852160209
3,1,symmetric,-1.885030904145738,0.2992760466033436
3,symmetric,0.01,-2.279421836681678,0.2733542241656734
3,symmetric,0.3,-2.104220272640369,0.2958032103353759
3,symmetric,1,-1.792908841216436,0.2954088640723424
3,symmetric,symmetric,-2.055973529983685,0.2935027524726084
3,asymmetric,0.01,-2.424011685437588,0.2742085636941399
3,asymmetric,0.3,-2.3084698076281245,0.24817854205046927
