num_topics,alpha,beta,u_mass
2,0.01,0.01,-0.5068129031193971
2,0.01,0.3,-0.5129728636302667
2,0.01,0.6,-0.5100972681428656
2,0.01,1,-0.5104072234998561
2,0.01,symmetric,-0.5100972681428656
2,0.3,0.01,-0.4987617873374828
2,0.3,0.3,-0.5056787910238754
2,0.3,0.6,-0.5140617160274321
2,0.3,1,-0.5129947025850422
2,0.3,symmetric,-0.5134744961555526
2,0.6,0.01,-0.49886499974051773
2,0.6,0.3,-0.5016747112624376
2,0.6,0.6,-0.5016747112624376
2,0.6,1,-0.5233077686388006
2,0.6,symmetric,-0.5016747112624376
2,1,0.01,-0.49865436103611366
2,1,0.3,-0.5204166836686213
2,1,0.6,-0.5216061182047873
2,1,1,-0.5216061182047873
2,1,symmetric,-0.5216061182047873
2,symmetric,0.01,-0.49886499974051773
2,symmetric,0.3,-0.5066005064648101
2,symmetric,0.6,-0.5066005064648101
2,symmetric,1,-0.5066005064648101
2,symmetric,symmetric,-0.5066005064648101
2,asymmetric,0.01,-0.5168133274687522
2,asymmetric,0.3,-0.519982278526314
2,asymmetric,0.6,-0.5421001141675723
2,asymmetric,1,-0.5528827078873674
2,asymmetric,symmetric,-0.540383468941152
3,0.01,0.01,-0.7598884164115751
3,0.01,0.3,-0.7274176406650333
3,0.01,0.6,-0.7645157416479081
3,0.01,1,-0.7378540668994472
3,0.01,symmetric,-0.7340089230086005
3,0.3,0.01,-0.7909763150684244
3,0.3,0.3,-1.3006321879657081
3,0.3,0.6,-0.7106974559905254
3,0.3,1,-0.6427830239381449
3,0.3,symmetric,-1.118084160741004
3,0.6,0.01,-0.7344762575673521
3,0.6,0.3,-0.705887108447273
3,0.6,0.6,-0.6914142001753154
3,0.6,1,-0.7098049700788108
3,0.6,symmetric,-0.7037060671885373
3,1,0.01,-1.481258863840096
3,1,0.3,-0.6985029920810799
3,1,0.6,-0.8736880778311223
3,1,1,-1.3865604231914626
3,1,symmetric,-0.6987018143360045
3,symmetric,0.01,-0.7821370061367725
3,symmetric,0.3,-1.316084483779367
3,symmetric,0.6,-1.448000607650899
3,symmetric,1,-0.7793008160392052
3,symmetric,symmetric,-1.1292792156501463
3,asymmetric,0.01,-0.7836563630510675
3,asymmetric,0.3,-0.6872535384588593
3,asymmetric,0.6,-0.6992046276752769
3,asymmetric,1,-0.6679117410536549
3,asymmetric,symmetric,-0.6832113325618167
4,0.01,0.01,-0.6122041103928044
4,0.01,0.3,-1.0230071939979806
4,0.01,0.6,-1.0510882614784811
4,0.01,1,-0.7601620133601894
4,0.01,symmetric,-1.0315766359272907
4,0.3,0.01,-0.6170197642828001
4,0.3,0.3,-0.9382844174788142
4,0.3,0.6,-1.0350589746660606
4,0.3,1,-1.208389802583378
4,0.3,symmetric,-0.9209047176509437
4,0.6,0.01,-0.672697419660599
4,0.6,0.3,-0.554253453136114
4,0.6,0.6,-0.795588003647489
4,0.6,1,-0.8678449187218409
4,0.6,symmetric,-0.5659557472902879
4,1,0.01,-0.6570745709978563
4,1,0.3,-0.6940352467758536
4,1,0.6,-1.2098142607514337
4,1,1,-1.1772152922253263
4,1,symmetric,-0.6726469020154657
4,symmetric,0.01,-0.6228619079694377
4,symmetric,0.3,-0.9501175802686925
4,symmetric,0.6,-0.9527376353979256
4,symmetric,1,-1.1755419955300148
4,symmetric,symmetric,-0.9390577461841436
4,asymmetric,0.01,-0.6651963214363888
4,asymmetric,0.3,-0.8952866154454964
4,asymmetric,0.6,-0.7715148944052153
4,asymmetric,1,-0.943899268052842
4,asymmetric,symmetric,-0.8806334141476351
5,0.01,0.01,-0.6092229907034286
5,0.01,0.3,-0.5775131880476031
5,0.01,0.6,-0.7893671683262139
5,0.01,1,-0.82658389189045
5,0.01,symmetric,-0.60125720037088
5,0.3,0.01,-0.5828256333460526
5,0.3,0.3,-0.8264690079785613
5,0.3,0.6,-0.5822595615671797
5,0.3,1,-0.8078400133100747
5,0.3,symmetric,-0.8150518502851982
5,0.6,0.01,-0.6262056959124311
5,0.6,0.3,-0.6485381908919946
5,0.6,0.6,-0.832176747207091
5,0.6,1,-1.2246867427588177
5,0.6,symmetric,-0.6391843248560684
5,1,0.01,-1.1377035036482632
5,1,0.3,-0.7501510762061432
5,1,0.6,-1.053225316666959
5,1,1,-2.551879831634648
5,1,symmetric,-0.6927518494537169
5,symmetric,0.01,-0.6018348485970242
5,symmetric,0.3,-0.5738590353162614
5,symmetric,0.6,-0.5578257144272285
5,symmetric,1,-0.808760082266563
5,symmetric,symmetric,-0.5577127228820411
5,asymmetric,0.01,-0.6680075415359311
5,asymmetric,0.3,-0.7240732222424106
5,asymmetric,0.6,-0.6222283040785948
5,asymmetric,1,-0.6624430887252029
5,asymmetric,symmetric,-0.6445953251342083
6,0.01,0.01,-0.767189619192568
6,0.01,0.3,-0.9878751974732053
6,0.01,0.6,-1.2113141225916362
6,0.01,1,-0.8341723863498866
6,0.01,symmetric,-1.012289826755476
6,0.3,0.01,-1.008310311314637
6,0.3,0.3,-0.9472761914628219
6,0.3,0.6,-1.0596639327263817
6,0.3,1,-1.1475159411371332
6,0.3,symmetric,-0.9782212763763032
6,0.6,0.01,-0.9680549351059007
6,0.6,0.3,-0.9832482375569587
6,0.6,0.6,-1.1090092995003473
6,0.6,1,-1.3667455169327536
6,0.6,symmetric,-0.9301460619352572
6,1,0.01,-0.9369669695741877
6,1,0.3,-1.3456019199130642
6,1,0.6,-2.1919947538393223
6,1,1,-3.428721142554347
6,1,symmetric,-1.0241740940640074
6,symmetric,0.01,-1.0465219461820547
6,symmetric,0.3,-1.0267429120076137
6,symmetric,0.6,-1.1668964754397235
6,symmetric,1,-0.8222620540686151
6,symmetric,symmetric,-1.084684709936756
6,asymmetric,0.01,-0.7149092325940812
6,asymmetric,0.3,-0.6986969264100745
6,asymmetric,0.6,-0.7448129323425284
6,asymmetric,1,-0.6528536834836736
6,asymmetric,symmetric,-0.7088226725398119
7,0.01,0.01,-0.7243277201769819
7,0.01,0.3,-0.7474799228232862
7,0.01,0.6,-0.8023730661011804
7,0.01,1,-0.610819149766109
7,0.01,symmetric,-0.7615719724186991
7,0.3,0.01,-0.7586293125054917
7,0.3,0.3,-0.7265146953767642
7,0.3,0.6,-0.7554777888504
7,0.3,1,-0.66635702966507
7,0.3,symmetric,-0.7199712571999636
7,0.6,0.01,-0.9098929110897302
7,0.6,0.3,-1.0153871547739544
7,0.6,0.6,-1.2888068796307337
7,0.6,1,-1.7496679219388436
7,0.6,symmetric,-0.8287852139271187
7,1,0.01,-0.8845878240318402
7,1,0.3,-1.2620052160008945
7,1,0.6,-3.1398063164248504
7,1,1,-3.586103018529022
7,1,symmetric,-1.001045620311418
7,symmetric,0.01,-0.747997643122061
7,symmetric,0.3,-0.7430930131907579
7,symmetric,0.6,-0.8247521173698515
7,symmetric,1,-0.7242259751758472
7,symmetric,symmetric,-0.7119832931851118
7,asymmetric,0.01,-0.7915065090635345
7,asymmetric,0.3,-0.6573135187535266
7,asymmetric,0.6,-0.6459543165876062
7,asymmetric,1,-0.8593913827409321
7,asymmetric,symmetric,-0.7357824995716854
8,0.01,0.01,-0.7071481619567028
8,0.01,0.3,-0.9734434479139613
8,0.01,0.6,-0.8552613905899391
8,0.01,1,-0.9349537997713114
8,0.01,symmetric,-0.7215208058448986
8,0.3,0.01,-0.8138168412561704
