num_topics,alpha,beta,u_mass
2,0.01,0.01,-0.09346153408305438
2,0.01,0.3,-0.09346153408305438
2,0.01,0.6,-0.15590143509664972
2,0.01,1,-0.14829432354122227
2,0.01,symmetric,-0.20781937893833058
2,0.3,0.01,-0.09346153408305438
2,0.3,0.3,-0.09346153408305438
2,0.3,0.6,-0.14667201786399092
2,0.3,1,-0.14786268199761454
2,0.3,symmetric,-0.18376734236511932
2,0.6,0.01,-0.09178546181400946
2,0.6,0.3,-0.09178546181400946
2,0.6,0.6,-0.15853055339015287
2,0.6,1,-0.13825972888174975
2,0.6,symmetric,-0.17574274226919523
2,1,0.01,-0.09178546181400946
2,1,0.3,-0.09178546181400946
2,1,0.6,-0.15878136965279582
2,1,1,-0.13656866182029787
2,1,symmetric,-0.09178546181400947
2,symmetric,0.01,-0.09262349794853192
2,symmetric,0.3,-0.09262349794853192
2,symmetric,0.6,-0.1539219531062757
2,symmetric,1,-0.1390121776696786
2,symmetric,symmetric,-0.18774902258053994
2,asymmetric,0.01,-0.09262349794853192
2,asymmetric,0.3,-0.09262349794853192
2,asymmetric,0.6,-0.15590143509664972
2,asymmetric,1,-0.14391543547237134
2,asymmetric,symmetric,-0.16695176244054266
3,0.01,0.01,-0.17032150724294373
3,0.01,0.3,-0.14434871265715538
3,0.01,0.6,-0.17365198802228388
3,0.01,1,-0.3401585750401129
3,0.01,symmetric,-0.14583885305467964
3,0.3,0.01,-0.17785421904339624
3,0.3,0.3,-0.14567164221291767
3,0.3,0.6,-0.19333105661484515
3,0.3,1,-0.2707818361606258
3,0.3,symmetric,-0.14567164221291767
3,0.6,0.01,-0.17420558481940251
3,0.6,0.3,-0.1733850575041389
3,0.6,0.6,-0.2534041524702431
3,0.6,1,-0.2518894261816432
3,0.6,symmetric,-0.17321784666237697
3,1,0.01,-0.17489206035461446
3,1,0.3,-0.17123687236452137
3,1,0.6,-0.25261119611279914
3,1,1,-0.22896856523163533
3,1,symmetric,-0.18367213910282998
3,symmetric,0.01,-0.17345937923649
3,symmetric,0.3,-0.14567164221291767
3,symmetric,0.6,-0.1924348713099925
3,symmetric,1,-0.2749676351458466
3,symmetric,symmetric,-0.14567164221291767
3,asymmetric,0.01,-0.17083184426172904
3,asymmetric,0.3,-0.17366211117093763
3,asymmetric,0.6,-0.17153559330566673
3,asymmetric,1,-0.23664598077222512
3,asymmetric,symmetric,-0.17050411420244158
4,0.01,0.01,-0.14678628205831426
4,0.01,0.3,-0.17850284709406258
4,0.01,0.6,-0.23701238300085292
4,0.01,1,-0.2754484298446213
