num_topics,alpha,beta,u_mass,c_v
2,0.01,0.01,-1.5347839898573845,0.25855592928161253
2,0.01,0.3,-1.5355628442979978,0.29790082111219957
2,0.01,0.6,-1.5286287264607488,0.29840409695243464
2,0.01,1,-1.5134233989748525,0.2869026341426472
2,0.01,symmetric,-1.5228505987564531,0.2859159407015435
2,0.3,0.01,-1.5502492613345904,0.26893963319010056
2,0.3,0.3,-1.5166070886457157,0.2677340290396929
2,0.3,0.6,-1.4948604341337202,0.2715242650085955
2,0.3,1,-1.4935069270548083,0.28031086441716013
2,0.3,symmetric,-1.5006167944228532,0.2715242650085955
2,0.6,0.01,-1.552135564374023,0.28824056231640816
2,0.6,0.3,-1.549332866966017,0.28983172802302204
2,0.6,0.6,-1.5535149278435592,0.30830190398611756
2,0.6,1,-1.5407001413786348,0.3187962547535427
2,0.6,symmetric,-1.5570765840211913,0.3083019039861176
2,1,0.01,-1.5479871997285826,0.2907344201994746
2,1,0.3,-1.5546930252217428,0.2884491722997188
2,1,0.6,-1.5647852261193318,0.3092393153075357
2,1,1,-1.5478463734107462,0.31621933535266256
2,1,symmetric,-1.5671413451683547,0.3092393153075356
2,symmetric,0.01,-1.5630857807681675,0.29940792877391276
2,symmetric,0.3,-1.5505688648137925,0.28983172802302204
2,symmetric,0.6,-1.5292062730223464,0.29580629580401485
2,symmetric,1,-1.5252370711042915,0.31543486822332156
2,symmetric,symmetric,-1.5364412130500986,0.29580629580401485
2,asymmetric,0.01,-1.5663998822297809,0.2524039098747775
2,asymmetric,0.3,-1.6142553138684508,0.18699120179208256
2,asymmetric,0.6,-1.6813175603524937,0.1583161487865083
2,asymmetric,1,-1.9321824267560728,0.16864247291757556
2,asymmetric,symmetric,-1.6178669394166905,0.16285231671872885
3,0.01,0.01,-1.7361544499425106,0.2600942320220492
3,0.01,0.3,-1.6135168214511875,0.23241882416034068
3,0.01,0.6,-1.6940496761109756,0.22839169927556616
3,0.01,1,-1.8405766933630467,0.2415622594946678
3,0.01,symmetric,-1.6193246326450061,0.23330441421206494
3,0.3,0.01,-1.5805788077753835,0.27695187017700107
3,0.3,0.3,-1.565381072826323,0.2672231094176996
3,0.3,0.6,-1.5698390325440756,0.2555613631040901
3,0.3,1,-1.615582061774414,0.26042739024968425
3,0.3,symmetric,-1.561087982895235,0.2697688178066659
3,0.6,0.01,-1.5402192803285601,0.27145619470689797
3,0.6,0.3,-1.58443592703341,0.27315892112816537
3,0.6,0.6,-1.577492442123165,0.2820263153607742
3,0.6,1,-1.5979946278835466,0.2791445226902965
3,0.6,symmetric,-1.5860442815732068,0.27315892112816537
3,1,0.01,-1.6074487190704065,0.26751771250402595
3,1,0.3,-1.5942733177571922,0.2765124400740115
3,1,0.6,-1.5848403334984766,0.27717642165431194
3,1,1,-1.57428887949336,0.28666235945047974
3,1,symmetric,-1.59524367057634,0.2765124400740115
3,symmetric,0.01,-1.5778263562522348,0.27695187017700107
3,symmetric,0.3,-1.6038527832985696,0.27337426268410336
3,symmetric,0.6,-1.5687831732056277,0.2555613631040901
3,symmetric,1,-1.6202096779522013,0.26042739024968425
3,symmetric,symmetric,-1.6035364071092648,0.27337426268410336
3,asymmetric,0.01,-1.434142697566876,0.2640338326096689
3,asymmetric,0.3,-1.587871126588342,0.22317087372494707
3,asymmetric,0.6,-1.6060046052003702,0.21576358396747022
3,asymmetric,1,-1.6966206320812531,0.2502108811437913
3,asymmetric,symmetric,-1.5881418288909508,0.2226249472003836
4,0.01,0.01,-1.6364478916086402,0.27080427467548573
4,0.01,0.3,-1.6141676313680282,0.29574664448221055
4,0.01,0.6,-1.650951193487361,0.2754991627064351
4,0.01,1,-1.6314757705029201,0.24884341661521794
4,0.01,symmetric,-1.7218762030999093,0.28801930795281305
4,0.3,0.01,-1.6595643402609936,0.28614021852347366
4,0.3,0.3,-1.6335731745916824,0.2652722032426351
4,0.3,0.6,-1.647146782860661,0.26687044054356046
4,0.3,1,-1.6416874742578265,0.279728094298324
4,0.3,symmetric,-1.6438864403816846,0.2794724541538831
4,0.6,0.01,-1.7090541386657685,0.2990219088749958
4,0.6,0.3,-1.714145904294764,0.2927273578688739
4,0.6,0.6,-1.7511431656710665,0.29776311008148
4,0.6,1,-1.7243001014045285,0.303659825726425
4,0.6,symmetric,-1.7083008300295506,0.2949657157344587
4,1,0.01,-1.7141525493423964,0.3057869093543569
4,1,0.3,-1.8024784718751814,0.3201919296755177
4,1,0.6,-1.7729356134827448,0.31834519155815233
4,1,1,-1.5926590312196423,0.31345402387460963
4,1,symmetric,-1.800759082300777,0.3201919296755177
4,symmetric,0.01,-1.912142688029483,0.2827414841078437
4,symmetric,0.3,-1.6581211116519783,0.26699870571558726
4,symmetric,0.6,-1.5854744262312572,0.27814700986251845
4,symmetric,1,-1.6076302188858098,0.28149990879534925
4,symmetric,symmetric,-1.6470335108977956,0.26636474834390733
4,asymmetric,0.01,-1.6823440904266158,0.2885822147483049
4,asymmetric,0.3,-1.5772508868266624,0.2760415759043073
4,asymmetric,0.6,-1.5957972594415613,0.3037861792175074
4,asymmetric,1,-1.5985793456839108,0.3283535868625612
4,asymmetric,symmetric,-1.5728805896435503,0.2717201736024142
5,0.01,0.01,-1.5896331059965032,0.2779910345343214
5,0.01,0.3,-1.5953577136018573,0.2524170475744897
5,0.01,0.6,-1.656422913150557,0.25946788199208254
5,0.01,1,-1.65864418753902,0.27135708678887643
5,0.01,symmetric,-1.592845157395127,0.2556369249406562
5,0.3,0.01,-1.5787452089942664,0.29344931291459775
5,0.3,0.3,-1.5777385472550653,0.27846352870967367
5,0.3,0.6,-1.5664820515266324,0.26717040110141943
5,0.3,1,-1.7112480978626379,0.2622741204243041
5,0.3,symmetric,-1.5836427395670984,0.28849603011403835
5,0.6,0.01,-1.6438312558779464,0.312071030453412
5,0.6,0.3,-1.619245685214371,0.2898580795926796
5,0.6,0.6,-1.6077353756694723,0.29904049332179217
5,0.6,1,-1.592802586812,0.3160876412837209
5,0.6,symmetric,-1.62612495652949,0.29704381554152565
5,1,0.01,-1.6342036261599227,0.29559851816745775
5,1,0.3,-1.5909593668603352,0.3025451189316971
5,1,0.6,-1.6158125394411602,0.319551805041555
5,1,1,-1.614214463149117,0.3289654287945414
5,1,symmetric,-1.6304793072645887,0.3004100465397847
5,symmetric,0.01,-1.565716107243241,0.2951227433186959
5,symmetric,0.3,-1.5848318421632253,0.26670408740275897
5,symmetric,0.6,-1.693840388835865,0.25391756565765755
5,symmetric,1,-1.7661099183119808,0.2565221043841525
5,symmetric,symmetric,-1.5981303166034884,0.28792411286208225
5,asymmetric,0.01,-1.7066560171043565,0.26725581508504614
5,asymmetric,0.3,-1.6727267818565992,0.28096616529008356
5,asymmetric,0.6,-1.7047731180299082,0.28604801027029897
5,asymmetric,1,-2.1107664143080553,0.30096810829608367
5,asymmetric,symmetric,-1.7981722950887353,0.2726020381727965
6,0.01,0.01,-1.6909334340227529,0.26051181587707806
6,0.01,0.3,-1.6296373985723485,0.2637101777951618
6,0.01,0.6,-1.7448423174904857,0.27065393482702554
6,0.01,1,-1.6149679923558757,0.2766907137740318
6,0.01,symmetric,-1.8183837227526063,0.25516024225809664
6,0.3,0.01,-1.6813612232243644,0.27264708479526273
6,0.3,0.3,-1.6714604053084028,0.24112046820393465
6,0.3,0.6,-1.7304142883701592,0.25606849605371224
6,0.3,1,-1.6857327901154893,0.2569473409582235
6,0.3,symmetric,-1.6994117421677022,0.26019507303447503
6,0.6,0.01,-1.8274091184977828,0.279934721263463
6,0.6,0.3,-1.8019161217532245,0.2625270528398474
6,0.6,0.6,-1.8257032616530624,0.2809616882048523
