num_topics,alpha,beta,u_mass,c_v
2,0.01,0.01,-1.7502587767896514,0.26440254279861664
2,0.01,0.3,-1.7838301404540071,0.2883685800108142
2,0.01,0.6,-1.7787760523040435,0.28959802847042393
2,0.01,1,-1.6722231551542501,0.28527646805443263
2,0.01,symmetric,-1.7796889090812535,0.2789694391030253
2,0.3,0.01,-1.8614186786065108,0.2939040404228962
2,0.3,0.3,-1.8487207424421803,0.28985883914628546
2,0.3,0.6,-1.8516870621223527,0.2898588391462854
2,0.3,1,-1.6482658098883958,0.267110808544078
2,0.3,symmetric,-1.8511791901597485,0.28985883914628546
2,0.6,0.01,-1.8543054575560198,0.2898588391462855
2,0.6,0.3,-1.851144809468094,0.28985883914628546
2,0.6,0.6,-1.849207253620594,0.28985883914628546
2,0.6,1,-1.6729890492716075,0.28527646805443263
2,0.6,symmetric,-1.8498789164255034,0.2898588391462855
2,1,0.01,-1.86243827972508,0.2898588391462854
2,1,0.3,-1.8570602137940189,0.2898588391462854
2,1,0.6,-1.7698569682636354,0.2862594872423122
2,1,1,-1.7739101158651094,0.28625948724231226
2,1,symmetric,-1.8527869857680024,0.2898588391462854
2,symmetric,0.01,-1.8508921332734094,0.2898588391462855
2,symmetric,0.3,-1.8473248662244313,0.28985883914628546
2,symmetric,0.6,-1.8509739864573165,0.2898588391462854
2,symmetric,1,-1.6755452390671157,0.28527646805443263
2,symmetric,symmetric,-1.849014932575876,0.2898588391462854
2,asymmetric,0.01,-1.6860501623724724,0.2920943679547804
2,asymmetric,0.3,-1.6637258267739345,0.2988124273389529
2,asymmetric,0.6,-1.6607091599867458,0.3091762131380801
2,asymmetric,1,-1.6088586145684458,0.31050430771248416
2,asymmetric,symmetric,-1.6450998555008123,0.30189364428066134
3,0.01,0.01,-1.9725483514503124,0.28585409551393565
3,0.01,0.3,-1.9406480483142845,0.2681829824319754
3,0.01,0.6,-1.9300798372446544,0.2698535167133208
3,0.01,1,-1.8377809284310196,0.2708109148686504
3,0.01,symmetric,-1.9419745903128776,0.278846686925801
3,0.3,0.01,-1.7744545183908225,0.2951356746839467
3,0.3,0.3,-1.9782711742543027,0.27781111826931165
3,0.3,0.6,-1.916518689471139,0.27659294686398334
3,0.3,1,-1.921457143352623,0.2785999222546431
3,0.3,symmetric,-1.976476393399955,0.27781111826931165
3,0.6,0.01,-1.850076533237103,0.2791441808411404
3,0.6,0.3,-1.7986610183968674,0.28938010000133013
3,0.6,0.6,-1.8541465506923032,0.27851018236337316
3,0.6,1,-1.8856551717163044,0.2755496060714642
3,0.6,symmetric,-1.8201722532235658,0.2976036448712848
3,1,0.01,-1.8342415882697092,0.26885617606120504
3,1,0.3,-1.8321366453431238,0.26612098972387543
3,1,0.6,-1.8272153309996133,0.2740035691440404
3,1,1,-1.8702986913061268,0.2722977435132222
3,1,symmetric,-1.832449361538573,0.26612098972387543
3,symmetric,0.01,-1.7343433242900899,0.3000378866891386
3,symmetric,0.3,-1.976672999656221,0.2720994215576067
3,symmetric,0.6,-1.9078872592942184,0.2782662129132663
3,symmetric,1,-2.0018131174860234,0.2696556113136208
3,symmetric,symmetric,-1.9756953716072403,0.2720994215576067
3,asymmetric,0.01,-1.7331859878842255,0.27142754806761465
3,asymmetric,0.3,-1.6970377098244755,0.29413818076791753
3,asymmetric,0.6,-1.6802046905288748,0.29413818076791753
3,asymmetric,1,-1.6830776436798214,0.2910664336814135
