num_topics,alpha,beta,u_mass
2,0.01,0.01,-1.6306477713646859
2,0.01,0.3,-1.6445656125778938
2,0.01,1,-1.6445656125778938
2,0.01,symmetric,-1.6445656125778938
2,0.3,0.01,-1.871986610586112
2,0.3,0.3,-1.8541242456468439
2,0.3,1,-1.6746044164295926
2,0.3,symmetric,-1.8677704205591135
2,1,0.01,-1.5403900839398526
2,1,0.3,-1.529340161689254
2,1,1,-1.6278419988482964
2,1,symmetric,-1.6000885676267784
2,symmetric,0.01,-1.5118315744463287
2,symmetric,0.3,-1.5582608237870499
2,symmetric,1,-1.5305576230832598
2,symmetric,symmetric,-1.5441318274617921
2,asymmetric,0.01,-1.820852283450852
2,asymmetric,0.3,-1.8700381819008611
2,asymmetric,1,-1.866236698841414
2,asymmetric,symmetric,-1.8668353809867044
3,0.01,0.01,-1.5198339944687909
3,0.01,0.3,-1.6767585519865076
3,0.01,1,-1.6767585519865076
3,0.01,symmetric,-1.6767585519865076
3,0.3,0.01,-1.4951871476324017
3,0.3,0.3,-1.4681872295562233
3,0.3,1,-1.5189521813150975
3,0.3,symmetric,-1.464734261965367
3,1,0.01,-1.7071844712930417
3,1,0.3,-1.5447784084534557
3,1,1,-1.5723013599673623
3,1,symmetric,-1.5490435977557857
3,symmetric,0.01,-1.5354157228743412
3,symmetric,0.3,-1.5312712379165765
3,symmetric,1,-1.4357584437261945
3,symmetric,symmetric,-1.4800684772910884
3,asymmetric,0.01,-1.9300417015858777
3,asymmetric,0.3,-1.956872431994887
3,asymmetric,1,-1.9371387943655514
3,asymmetric,symmetric,-1.9295668564856225
4,0.01,0.01,-1.556784133217855
4,0.01,0.3,-2.136570309988691
4,0.01,1,-2.136570309988691
4,0.01,symmetric,-2.136570309988691
4,0.3,0.01,-1.50826283700937
4,0.3,0.3,-1.5860345103127629
4,0.3,1,-1.4986530339772768
4,0.3,symmetric,-1.5330487243934563
4,1,0.01,-1.658056853936331
4,1,0.3,-1.7366613638641712
4,1,1,-1.7934682779975843
4,1,symmetric,-1.7407084573416052
4,symmetric,0.01,-1.6435353733820448
4,symmetric,0.3,-1.5631455194019024
4,symmetric,1,-1.6560778582904643
4,symmetric,symmetric,-1.5560569552840462
4,asymmetric,0.01,-1.6342632490246036
4,asymmetric,0.3,-1.470759915034027
4,asymmetric,1,-1.453021952621696
4,asymmetric,symmetric,-1.6815055178977176
5,0.01,0.01,-1.9486790800492912
5,0.01,0.3,-2.4248039397868864
5,0.01,1,-2.4248039397868864
5,0.01,symmetric,-2.4248039397868864
5,0.3,0.01,-1.7999565405871114
5,0.3,0.3,-1.7067148634821627
5,0.3,1,-1.7145919046083278
5,0.3,symmetric,-1.7566422539456774
5,1,0.01,-1.840160988858773
5,1,0.3,-1.7376968169203146
5,1,1,-1.8375380459134587
5,1,symmetric,-1.7756906742215581
5,symmetric,0.01,-1.9436078123426135
5,symmetric,0.3,-1.7642854808843702
5,symmetric,1,-1.8265152841471597
5,symmetric,symmetric,-1.931147156608402
5,asymmetric,0.01,-1.9754660887301476
5,asymmetric,0.3,-2.2238636670225462
5,asymmetric,1,-2.2112022594673766
5,asymmetric,symmetric,-2.278720614005021
