num_topics,alpha,beta,u_mass
2,0.01,0.01,-1.5321801661515906
2,0.01,0.3,-1.5918665473559988
2,0.01,1,-1.5446655694293374
2,0.01,symmetric,-1.5923708902448779
2,0.3,0.01,-1.5670274482947906
2,0.3,0.3,-1.5524701451861003
2,0.3,1,-1.5608837170995111
2,0.3,symmetric,-1.5648159503142427
2,1,0.01,-1.4792422984851847
2,1,0.3,-1.4777055766055174
2,1,1,-1.492619949778312
2,1,symmetric,-1.4819702252651865
2,symmetric,0.01,-1.4783259685379464
2,symmetric,0.3,-1.4654828699491511
2,symmetric,1,-1.4870416532314445
2,symmetric,symmetric,-1.4622659835697016
2,asymmetric,0.01,-1.5116797763625103
2,asymmetric,0.3,-1.4462412146013905
2,asymmetric,1,-1.5123961144598113
2,asymmetric,symmetric,-1.458322506396736
3,0.01,0.01,-1.46564667729297
3,0.01,0.3,-1.7977384295005268
3,0.01,1,-1.7979901024653946
3,0.01,symmetric,-1.7973122081345438
3,0.3,0.01,-1.4248808680164065
3,0.3,0.3,-1.4358876843020847
3,0.3,1,-1.5145730444722583
3,0.3,symmetric,-1.4252323008402614
3,1,0.01,-1.494718693409706
3,1,0.3,-1.5253785121949466
3,1,1,-1.477276806739293
3,1,symmetric,-1.5445256103014195
3,symmetric,0.01,-1.518802262225482
3,symmetric,0.3,-1.4459300341102808
3,symmetric,1,-1.5295903490440093
3,symmetric,symmetric,-1.4463919697754586
3,asymmetric,0.01,-1.7374242886683173
3,asymmetric,0.3,-1.527206045572613
3,asymmetric,1,-1.6561088991835806
3,asymmetric,symmetric,-1.5070943747334464
4,0.01,0.01,-1.9706990772426853
4,0.01,0.3,-2.0667481250808435
4,0.01,1,-2.0667481250808435
4,0.01,symmetric,-2.0667481250808435
4,0.3,0.01,-1.7148224410114323
4,0.3,0.3,-1.7107693212379318
4,0.3,1,-1.593901588239138
4,0.3,symmetric,-1.7668284650350798
4,1,0.01,-1.707023933387994
4,1,0.3,-1.7174571799317282
4,1,1,-1.6449421845943135
4,1,symmetric,-1.7693814754003654
4,symmetric,0.01,-1.7606592032068369
4,symmetric,0.3,-2.0928099311957946
4,symmetric,1,-2.5128730930108074
4,symmetric,symmetric,-2.1336065148476178
4,asymmetric,0.01,-1.4657395019452655
4,asymmetric,0.3,-1.8791796343411844
4,asymmetric,1,-2.0050463851852975
4,asymmetric,symmetric,-1.7301597722083137
5,0.01,0.01,-1.8547004228694626
5,0.01,0.3,-2.089135043033415
5,0.01,1,-2.0898045048931198
5,0.01,symmetric,-2.0898045048931198
5,0.3,0.01,-1.7400173553400975
5,0.3,0.3,-1.6807212847736843
5,0.3,1,-1.6121868130132264
5,0.3,symmetric,-1.7362470731383115
5,1,0.01,-1.8902363858539633
5,1,0.3,-1.8130690095931308
5,1,1,-1.8000059177052878
5,1,symmetric,-1.9135807472203268
5,symmetric,0.01,-1.9263955660224
5,symmetric,0.3,-2.3719659418151684
5,symmetric,1,-1.9539254273742859
5,symmetric,symmetric,-2.112751244228636
5,asymmetric,0.01,-1.4346154815607668
5,asymmetric,0.3,-1.7778606805068982
5,asymmetric,1,-4.075550432374253
5,asymmetric,symmetric,-1.5444364942036777
